anum,n_terms,found,class,order,degree,L_H,n_singular,error
A025791,64,False,genuine_spurious,,,,,
A025792,65,False,genuine_spurious,,,,,
A025793,74,False,genuine_spurious,,,,,
A025794,66,False,genuine_spurious,,,,,
A025809,66,False,genuine_spurious,,,,,
A025810,80,False,genuine_spurious,,,,,
A025811,67,False,genuine_spurious,,,,,
A025816,67,False,genuine_spurious,,,,,
A025817,76,False,genuine_spurious,,,,,
A025818,69,False,genuine_spurious,,,,,
A025819,69,False,genuine_spurious,,,,,
A025820,69,False,genuine_spurious,,,,,
A025821,69,False,genuine_spurious,,,,,
A025822,71,False,genuine_spurious,,,,,
A025823,72,False,genuine_spurious,,,,,
A025824,72,False,genuine_spurious,,,,,
A025825,93,False,genuine_spurious,,,,,
A025826,73,False,genuine_spurious,,,,,
A025827,75,False,genuine_spurious,,,,,
A025839,70,False,genuine_spurious,,,,,
A025854,75,False,genuine_spurious,,,,,
A025855,76,False,genuine_spurious,,,,,
A025856,77,False,genuine_spurious,,,,,
A025857,77,False,genuine_spurious,,,,,
A025858,79,False,genuine_spurious,,,,,
A025861,71,False,genuine_spurious,,,,,
A025869,75,False,genuine_spurious,,,,,
A025875,80,False,genuine_spurious,,,,,
A025880,77,False,genuine_spurious,,,,,
A025889,85,False,genuine_spurious,,,,,
A025897,78,False,genuine_spurious,,,,,
A025898,79,False,genuine_spurious,,,,,
A025899,80,False,genuine_spurious,,,,,
A025900,80,False,genuine_spurious,,,,,
A025901,80,False,genuine_spurious,,,,,
A025902,80,False,genuine_spurious,,,,,
A025903,80,False,genuine_spurious,,,,,
A025904,80,False,genuine_spurious,,,,,
A025905,80,False,genuine_spurious,,,,,
A025906,80,False,genuine_spurious,,,,,
A025907,80,False,genuine_spurious,,,,,
A025908,80,False,genuine_spurious,,,,,
A025909,80,False,genuine_spurious,,,,,
A025910,80,False,genuine_spurious,,,,,
A025911,80,False,genuine_spurious,,,,,
A025912,80,False,genuine_spurious,,,,,
A025913,80,False,genuine_spurious,,,,,
A025914,80,False,genuine_spurious,,,,,
A025915,80,False,genuine_spurious,,,,,
A025916,80,False,genuine_spurious,,,,,
A025917,80,False,genuine_spurious,,,,,
A025918,80,False,genuine_spurious,,,,,
A025919,80,False,genuine_spurious,,,,,
A025920,80,False,genuine_spurious,,,,,
A025921,80,False,genuine_spurious,,,,,
A025922,80,False,genuine_spurious,,,,,
A025923,80,False,genuine_spurious,,,,,
A025924,80,False,genuine_spurious,,,,,
A025925,80,False,genuine_spurious,,,,,
A025926,80,False,genuine_spurious,,,,,
A026105,78,False,genuine_spurious,,,,,
A026233,70,False,genuine_spurious,,,,,
A026235,63,False,genuine_spurious,,,,,
A026261,66,False,genuine_spurious,,,,,
A026263,74,False,genuine_spurious,,,,,
A026268,78,False,genuine_spurious,,,,,
A026309,59,False,genuine_spurious,,,,,
A026318,48,False,genuine_spurious,,,,,
A026320,48,False,genuine_spurious,,,,,
A026405,75,False,genuine_spurious,,,,,
A026414,76,False,genuine_spurious,,,,,
A026417,59,False,genuine_spurious,,,,,
A026419,60,False,genuine_spurious,,,,,
A026421,59,False,genuine_spurious,,,,,
A026425,60,False,genuine_spurious,,,,,
A026432,60,False,genuine_spurious,,,,,
A026434,60,False,genuine_spurious,,,,,
A026436,60,False,genuine_spurious,,,,,
A026440,60,False,genuine_spurious,,,,,
A026447,60,False,genuine_spurious,,,,,
A026449,59,False,genuine_spurious,,,,,
A026452,60,False,genuine_spurious,,,,,
A026456,60,False,genuine_spurious,,,,,
A026458,60,False,genuine_spurious,,,,,
A026462,60,False,genuine_spurious,,,,,
A026467,60,False,genuine_spurious,,,,,
A026481,65,False,genuine_spurious,,,,,
A026492,90,False,genuine_spurious,,,,,
A026495,70,False,genuine_spurious,,,,,
A026500,61,False,genuine_spurious,,,,,
A026501,62,False,genuine_spurious,,,,,
A026503,60,False,genuine_spurious,,,,,
A026505,68,False,genuine_spurious,,,,,
A026507,62,False,genuine_spurious,,,,,
A026511,61,False,genuine_spurious,,,,,
A026519,81,False,genuine_spurious,,,,,
A026568,71,False,genuine_spurious,,,,,
A026605,90,False,genuine_spurious,,,,,
A026606,90,False,genuine_spurious,,,,,
A026735,37,False,undetermined,,,,,
A026799,70,False,genuine_spurious,,,,,
A026800,73,False,genuine_spurious,,,,,
A026801,75,False,genuine_spurious,,,,,
A026802,79,False,genuine_spurious,,,,,
A026803,82,False,genuine_spurious,,,,,
A026812,55,False,genuine_spurious,,,,,
A026813,54,False,genuine_spurious,,,,,
A026814,54,False,genuine_spurious,,,,,
A026815,54,False,genuine_spurious,,,,,
A026816,52,False,genuine_spurious,,,,,
A026819,83,False,genuine_spurious,,,,,
A026827,75,False,genuine_spurious,,,,,
A026828,77,False,genuine_spurious,,,,,
A026829,78,False,genuine_spurious,,,,,
A026830,81,False,genuine_spurious,,,,,
A026831,83,False,genuine_spurious,,,,,
A026839,59,False,genuine_spurious,,,,,
A026930,52,False,genuine_spurious,,,,,
A027023,81,False,genuine_spurious,,,,,
A027082,73,False,genuine_spurious,,,,,
A027189,55,False,genuine_spurious,,,,,
A027190,69,False,genuine_spurious,,,,,
A027191,68,False,genuine_spurious,,,,,
