anum,n_terms,max_digit_len,wall_s,cpu_s,full_fit,prefix_only,n_struct_rev,error
A131854,60,3,16.19281409999985,7.828125,False,False,0,
A131866,60,2,28.02367090000007,9.796875,False,False,0,
A131909,60,2,15.121859800000493,6.796875,False,False,0,
A133214,55,6,16.991736399999354,6.0625,False,False,0,
A133488,44,6,31.44669260000046,11.171875,False,False,0,
A134217,47,4,12.379860199999712,4.015625,False,False,0,
A136154,36,5,4.533962900000006,1.6875,False,False,0,
A136854,30,13,1.7170242000001963,0.75,False,True,1,
A137750,56,3,17.000435899999502,6.515625,False,False,0,
A138674,60,3,24.771241499999633,7.875,False,False,0,
A138711,60,1,43.36211950000052,15.09375,False,False,0,
A138822,31,10,6.6674760000005335,1.015625,False,False,0,
A139098,46,5,5.887620699999388,2.109375,True,False,1,
A139931,42,4,7.875610600000073,2.78125,False,False,0,
A140327,50,4,11.420967999999448,4.40625,False,False,0,
A140525,43,6,14.29554250000001,4.015625,False,False,0,
A140958,42,5,12.00993070000004,3.625,False,False,0,
A141560,58,3,18.466470800000025,6.5625,False,False,0,
A141989,44,4,11.179654200000186,3.703125,False,False,0,
A142459,45,9,7.9800572999993165,3.234375,False,False,0,
A142679,43,5,8.874510399999963,3.515625,False,False,0,
A142699,42,5,15.367515300000377,3.21875,False,False,0,
A142919,43,5,8.326123499999994,3.15625,False,False,0,
A143268,43,5,8.297150800000054,3.125,False,False,0,
A143656,60,2,16.073405699999967,6.078125,False,False,0,
A144489,60,2,16.31720310000037,6.609375,False,False,0,
A148058,32,16,3.639394799999536,1.09375,False,False,0,
A148320,31,16,3.1272054000000935,1.125,False,False,0,
A148441,30,16,2.5108542999996644,0.71875,False,False,0,
A151782,57,5,20.2087932000004,7.3125,False,False,0,
A153161,60,2,25.846862300000794,7.9375,False,False,0,
A156610,55,9,17.405835099999422,6.21875,False,False,0,
A156722,45,19,10.928924400000142,3.984375,False,False,0,
A157676,54,3,16.777196199999707,6.359375,False,False,0,
A158140,44,5,4.088886500000626,3.140625,False,False,0,
A159781,39,5,8.877333699999326,2.5625,False,False,0,
A160159,60,3,19.486685199999556,7.96875,False,False,0,
A163238,60,3,24.23981939999976,7.4375,False,False,0,
A163810,60,1,7.4139631000007284,2.25,True,False,0,
A164876,44,5,10.141703700000107,3.328125,False,False,0,
A164960,60,1,15.711894899999606,6.5,False,False,0,
A165077,60,2,73.88822509999954,21.953125,False,True,1,
A165567,39,6,6.558599400000276,2.3125,False,False,0,
A165827,50,4,11.304176100000404,4.484375,False,False,0,
A165959,60,2,9.87893510000049,8.609375,False,False,0,
A167384,52,3,6.511702299999342,5.0,False,False,0,
A167586,31,6,5.113442700000633,1.140625,True,False,1,
A168096,55,2,42.926066699999865,13.234375,True,False,2,
A168284,60,3,4.734311700000035,1.828125,True,False,0,
A170012,32,10,1.2964037000001554,0.484375,True,False,0,
A171697,52,3,25.29447320000054,6.5625,False,False,0,
A172373,55,9,21.509769199999937,6.515625,False,False,0,
A172523,34,6,3.143783700000313,1.328125,False,False,0,
A173043,36,22,5.856804899999588,1.84375,False,False,0,
A174342,60,6,20.6762676999997,8.03125,False,False,0,
A175060,60,2,22.055236400000467,7.5625,False,False,0,
A175798,51,3,15.192999799999598,5.0625,False,False,0,
A175808,60,2,22.736368900000343,7.75,False,False,0,
A176514,60,1,9.349866399999883,3.640625,True,False,0,
A176740,54,6,17.25300849999985,6.734375,False,False,0,
A177947,55,4,22.49538609999945,7.640625,False,False,0,
A178620,60,1,30.135529500000303,9.90625,False,False,0,
A179531,60,3,24.41563700000006,7.671875,False,False,0,
A180194,43,9,8.672922800000379,2.78125,False,False,0,
A180457,38,5,6.096930799999427,2.0625,False,False,0,
A180590,40,3,6.5530823999997665,2.171875,False,False,0,
A182042,55,5,16.068995300000097,6.078125,False,False,0,
A184871,60,3,21.73611990000063,7.578125,False,False,0,
A185169,57,11,12.519796299999143,7.0,False,False,0,
A186071,60,8,25.824211000000105,9.6875,False,True,1,
A187303,31,7,7.931665600000088,2.375,False,False,0,
A187683,60,2,22.04591679999976,8.859375,False,False,0,
A188216,48,6,11.906653699999879,4.109375,False,False,0,
A190032,34,7,4.583035700000437,1.46875,False,False,0,
A191120,60,4,22.07586480000009,7.5625,False,False,0,
A191387,60,4,23.87902640000084,7.953125,False,False,0,
A193900,50,6,14.068710200000169,5.03125,False,False,0,
A194121,58,4,27.372637500000565,7.765625,False,False,0,
A195311,56,3,17.741765300000225,6.328125,False,False,0,
A197207,50,8,15.79657810000026,4.6875,False,False,0,
A198369,60,1,28.427731499999936,9.78125,False,False,0,
A198758,60,1,19.347871599999962,7.53125,False,False,0,
A198862,49,4,3.4195048000001407,1.25,True,False,0,
A200928,47,6,16.086852999999792,5.03125,False,False,0,
A201456,60,3,31.125648500000352,9.078125,False,False,0,
A204849,60,4,10.989311299999827,7.625,False,False,0,
A206026,47,4,12.697612299999491,3.90625,False,False,0,
A207005,60,3,23.673689999999624,8.484375,False,False,0,
A207536,58,5,29.16780689999996,8.9375,False,False,0,
